"years","années"
"months","mois"
"days","jours"
"hours","heures"
"minutes","minutes"
"seconds","secondes"

"year","année"
"month","mois"
"day","jour"
"hour","heure"
"minute","minute"
"second","seconde"

"Mon","Lun"
"Tue","Mar"
"Wed","Mer"
"Thu","Jeu"
"Fri","Ven"
"Sat","Sam"
"Sun","Dim"

"Monday","Lundi"
"Tuesday","Mardi"
"Wednesday","Mercredi"
"Thursday","Jeudi"
"Friday","Vendredi"
"Saturday","Samedi"
"Sunday","Dimanche"

"January","Janvier"
"February","Février"
"March","Mars"
"April","Avril"
"May","Mai"
"June","Juin"
"Jully","Juillet"
"August","Août"
"September","Septembre"
"October","Octobre"
"November","Novembre"
"December","Décembre"

